,sigma,optimizer,seed,r
0,0.1,rmsprop,1,1.0
1,0.1,cobyla,1,1.0
2,0.1,rmsprop,2,1.0
3,0.1,cobyla,2,1.0
4,0.1,rmsprop,3,1.0
5,0.1,cobyla,3,1.0
6,0.1,rmsprop,4,1.0
7,0.1,cobyla,4,1.0
8,0.1,rmsprop,5,1.0
9,0.1,cobyla,5,1.0
10,0.1,rmsprop,6,1.0
11,0.1,cobyla,6,1.0
12,0.1,rmsprop,7,0.8593490810223763
13,0.1,cobyla,7,1.0
14,0.1,rmsprop,8,1.0
15,0.1,cobyla,8,1.0
16,0.1,rmsprop,9,1.0
17,0.1,cobyla,9,1.0
18,0.1,rmsprop,10,1.0
19,0.1,cobyla,10,1.0
20,0.1,rmsprop,11,1.0
21,0.1,cobyla,11,1.0
22,0.1,rmsprop,12,0.9912378368988646
23,0.1,cobyla,12,0.9912378368988646
24,0.1,rmsprop,13,1.0
25,0.1,cobyla,13,1.0
26,0.1,rmsprop,14,1.0
27,0.1,cobyla,14,1.0
28,0.1,rmsprop,15,1.0
29,0.1,cobyla,15,1.0
30,0.1,rmsprop,16,1.0
31,0.1,cobyla,16,1.0
32,0.1,rmsprop,17,1.0
33,0.1,cobyla,17,1.0
34,0.1,rmsprop,18,1.0
35,0.1,cobyla,18,1.0
36,0.1,rmsprop,19,1.0
37,0.1,cobyla,19,1.0
38,0.1,rmsprop,20,0.8692603491223994
39,0.1,cobyla,20,1.0
40,0.1,rmsprop,21,1.0
41,0.1,cobyla,21,1.0
42,0.1,rmsprop,22,1.0
43,0.1,cobyla,22,1.0
44,0.1,rmsprop,23,1.0
45,0.1,cobyla,23,1.0
46,0.1,rmsprop,24,0.8602403394186158
47,0.1,cobyla,24,0.7175561596779643
48,0.1,rmsprop,25,0.8646535481945093
49,0.1,cobyla,25,0.8646535481945093
50,0.1,rmsprop,26,1.0
51,0.1,cobyla,26,1.0
52,0.1,rmsprop,27,1.0
53,0.1,cobyla,27,1.0
54,0.1,rmsprop,28,1.0
55,0.1,cobyla,28,1.0
56,0.1,rmsprop,29,1.0
57,0.1,cobyla,29,1.0
58,0.1,rmsprop,30,1.0
59,0.1,cobyla,30,1.0
60,0.1,rmsprop,31,1.0
61,0.1,cobyla,31,1.0
62,0.1,rmsprop,32,1.0
63,0.1,cobyla,32,1.0
64,0.1,rmsprop,33,1.0
